# Constructed from biom file
#OTU ID	Bact89	Bact1z3z2R	Bact5z5z2	Bact3z5z2	Bact183	Bact3z1z2R	Bact1z2z2R	Bact3z4z2	Bact128	Bact3z5z2R	Bact3z3z2	Bact90	Bact197	Bact5z5z2R	Bact127	Bact175zFB	Bact5z1z2	Bact1z5z2	Bact101	Bact5z3z2	Bact3z4z2R	Bact198	Bact1z1z2	Bact180	Bact177	Bact192	Bact5z2z2R	Bact5z1z2R	Bact5z2z2	Bact181	Bact3z3z2R	Bact176	Bact86	Bact194	Bact3z2z2R	Bact5z3z2R	Bact5z4z2	Bact1z3z2	Bact105	Bact5z4z2R	Bact182	Bact196	Bact130	Bact87	Bact184	Bact102	Bact193	Bact103	Bact1z1z2R	Bact126	Bact195	Bact1z4z2	Bact3z1z2	Bact1z5z2R	Bact3z2z2	Bact1z4z2R	Bact190	Bact104	Bact88	Bact179	Bact191	Bact1z2z2	Bact178
D_0__Bacteria;D_1__Acidobacteria;D_2__Acidobacteriia;D_3__Acidobacteriales;D_4__uncultured;__	192.0	631.0	370.0	322.0	437.0	268.0	609.0	415.0	439.0	372.0	309.0	327.0	332.0	279.0	411.0	732.0	180.0	382.0	384.0	617.0	399.0	66.0	206.0	403.0	474.0	544.0	328.0	198.0	280.0	266.0	258.0	299.0	245.0	503.0	330.0	399.0	382.0	409.0	391.0	372.0	386.0	282.0	577.0	344.0	283.0	413.0	245.0	487.0	170.0	550.0	242.0	432.0	226.0	541.0	297.0	479.0	245.0	358.0	249.0	400.0	446.0	163.0	424.0
D_0__Bacteria;D_1__Acidobacteria;D_2__Acidobacteriia;D_3__Acidobacteriales;__;__	25.0	21.0	5.0	12.0	17.0	11.0	4.0	8.0	27.0	6.0	9.0	47.0	3.0	0.0	5.0	4.0	13.0	7.0	27.0	7.0	11.0	3.0	8.0	5.0	2.0	2.0	1.0	20.0	1.0	0.0	33.0	3.0	18.0	4.0	9.0	3.0	23.0	5.0	7.0	1.0	4.0	5.0	32.0	5.0	3.0	32.0	16.0	86.0	7.0	6.0	7.0	4.0	9.0	11.0	38.0	7.0	7.0	9.0	10.0	7.0	4.0	37.0	13.0
D_0__Bacteria;D_1__Acidobacteria;D_2__Acidobacteriia;D_3__Solibacterales;D_4__Solibacteraceae (Subgroup 3);D_5__Bryobacter	206.0	181.0	150.0	146.0	140.0	186.0	184.0	182.0	227.0	197.0	197.0	189.0	240.0	160.0	205.0	272.0	165.0	130.0	232.0	161.0	189.0	176.0	147.0	151.0	116.0	204.0	163.0	203.0	120.0	132.0	181.0	132.0	209.0	184.0	201.0	126.0	186.0	144.0	253.0	199.0	116.0	206.0	219.0	178.0	87.0	234.0	185.0	250.0	220.0	164.0	154.0	183.0	160.0	214.0	177.0	199.0	111.0	267.0	204.0	136.0	228.0	107.0	190.0
D_0__Bacteria;D_1__Acidobacteria;D_2__Acidobacteriia;D_3__Solibacterales;D_4__Solibacteraceae (Subgroup 3);D_5__Candidatus Solibacter	60.0	180.0	93.0	124.0	180.0	86.0	124.0	130.0	84.0	129.0	140.0	55.0	172.0	180.0	86.0	169.0	53.0	122.0	104.0	125.0	133.0	92.0	59.0	141.0	133.0	154.0	117.0	72.0	80.0	225.0	51.0	123.0	75.0	96.0	116.0	106.0	78.0	187.0	138.0	193.0	161.0	180.0	152.0	106.0	174.0	141.0	138.0	106.0	92.0	168.0	93.0	137.0	76.0	128.0	87.0	136.0	95.0	87.0	117.0	149.0	236.0	27.0	137.0
D_0__Bacteria;D_1__Acidobacteria;D_2__Acidobacteriia;D_3__Solibacterales;D_4__Solibacteraceae (Subgroup 3);D_5__PAUC26f	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0
D_0__Bacteria;D_1__Acidobacteria;D_2__Acidobacteriia;D_3__Solibacterales;D_4__Solibacteraceae (Subgroup 3);__	3.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	2.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	2.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	4.0	0.0	0.0	1.0	0.0	0.0	2.0	0.0	4.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	2.0	0.0	0.0	5.0	0.0
D_0__Bacteria;D_1__Acidobacteria;D_2__Acidobacteriia;D_3__Subgroup 12;D_4__uncultured bacterium;D_5__uncultured bacterium	0.0	4.0	9.0	6.0	4.0	7.0	6.0	7.0	4.0	2.0	9.0	3.0	4.0	0.0	2.0	5.0	2.0	6.0	9.0	6.0	14.0	0.0	0.0	4.0	4.0	2.0	2.0	1.0	2.0	2.0	3.0	3.0	8.0	0.0	4.0	1.0	0.0	5.0	19.0	9.0	1.0	0.0	4.0	3.0	0.0	3.0	0.0	1.0	2.0	0.0	0.0	5.0	2.0	6.0	2.0	7.0	0.0	6.0	19.0	1.0	10.0	2.0	5.0
D_0__Bacteria;D_1__Acidobacteria;D_2__Acidobacteriia;D_3__Subgroup 13;D_4__uncultured Acidobacteria bacterium;D_5__uncultured Acidobacteria bacterium	0.0	3.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	3.0	0.0	2.0	6.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	5.0	1.0	0.0	3.0	4.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	2.0	0.0	0.0	1.0	3.0	0.0	4.0	4.0	0.0	3.0	3.0	0.0	7.0	1.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	1.0	1.0	2.0	0.0	0.0
D_0__Bacteria;D_1__Acidobacteria;D_2__Acidobacteriia;D_3__Subgroup 13;D_4__uncultured Holophaga sp.;D_5__uncultured Holophaga sp.	32.0	4.0	11.0	11.0	1.0	16.0	0.0	14.0	23.0	6.0	14.0	52.0	0.0	0.0	30.0	6.0	14.0	2.0	15.0	4.0	15.0	0.0	14.0	2.0	7.0	0.0	13.0	19.0	5.0	1.0	25.0	5.0	26.0	1.0	4.0	3.0	10.0	2.0	8.0	1.0	0.0	1.0	9.0	7.0	0.0	9.0	0.0	20.0	24.0	0.0	0.0	10.0	8.0	9.0	14.0	14.0	3.0	23.0	7.0	2.0	3.0	23.0	4.0
D_0__Bacteria;D_1__Acidobacteria;D_2__Acidobacteriia;D_3__Subgroup 13;D_4__uncultured bacterium KF-JG30-18;D_5__uncultured bacterium KF-JG30-18	8.0	0.0	0.0	2.0	0.0	0.0	0.0	2.0	9.0	7.0	5.0	38.0	2.0	0.0	5.0	0.0	7.0	0.0	0.0	2.0	3.0	0.0	6.0	0.0	0.0	3.0	0.0	14.0	0.0	0.0	11.0	0.0	5.0	0.0	3.0	2.0	0.0	0.0	2.0	0.0	0.0	0.0	15.0	0.0	0.0	2.0	0.0	3.0	5.0	0.0	0.0	4.0	1.0	0.0	13.0	3.0	0.0	4.0	2.0	0.0	0.0	10.0	0.0
